홈승,무승부,원정승,종료홈배당,종료무배당,종료원정배당,결과
2.25,3.5,3.2,2.15,3.5,3.35, 0-0 
1.33,5.3,9.5,1.38,5.0,8.5, 0-1 
2.15,3.4,3.5,2.25,3.15,3.55, 2-1 
1.3,5.6,10.5,1.25,6.0,12.0, 3-0 
2.7,3.15,2.8,2.55,3.05,3.05, 1-0 
2.25,3.1,3.6,2.45,2.85,3.45, 2-1 
2.02,3.6,3.65,2.08,3.5,3.6, 1-2 
3.15,3.75,2.15,3.05,3.8,2.2, 2-1 
1.92,3.7,3.85,2.0,3.5,3.8, 2-2 
2.35,3.4,3.1,2.5,3.3,3.2, 0-1 
